Game,Player,Teammate,Opponent1,Opponent2
1,M1,W1,M2,W2
3,M1,W2,M3,W4
5,M1,W3,M3,W1
7,M1,W4,M2,W1
1,M2,W2,M1,W1
4,M2,W3,M4,W1
6,M2,W4,M4,W2
7,M2,W1,M1,W4
2,M3,W3,M4,W4
3,M3,W4,M1,W2
5,M3,W1,M1,W3
8,M3,W2,M4,W3
2,M4,W4,M3,W3
4,M4,W1,M2,W3
6,M4,W2,M2,W4
8,M4,W3,M3,W2
1,W1,M1,M2,W2
4,W1,M4,M2,W3
5,W1,M3,M1,W3
7,W1,M2,M1,W4
1,W2,M2,M1,W1
3,W2,M1,M3,W4
6,W2,M4,M2,W4
8,W2,M3,M4,W3
2,W3,M3,M4,W4
4,W3,M2,M4,W1
5,W3,M1,M3,W1
8,W3,M4,M3,W2
2,W4,M4,M3,W3
3,W4,M3,M1,W2
6,W4,M2,M4,W2
7,W4,M1,M2,W1
