Timestamp,Num Rounds,Num Courts,Num Men,Num Women,Num Games,Repeat Opponents Min,Repeat Opponents Max,Repeat Opponents Avg,Repeat Opponents Rng,Repeat Teammates Min,Repeat Teammates Max,Repeat Teammates Avg,Repeat Teammates Rng,Games Played Min,Games Played Max,Games Played Avg,Games Played Rng Men,Games played Rng Women,Repeat Exponential,Opponent History Weight,Teammate History Weight,Games Played Weight,Recent Rounds Weight
2026-02-28 09:27:50.364513,5,1,10,10,5,0,0,0.0,0,0,0,0.0,0,1,1,1.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.366115,6,1,2,2,6,9,9,9.0,0,4,4,4.0,0,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.367120,6,1,3,3,6,3,3,3.0,0,1,1,1.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.368314,6,1,4,4,6,0,0,0.0,0,0,0,0.0,0,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.370577,6,1,5,5,6,0,1,0.2,1,0,0,0.0,0,2,3,2.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.374277,6,1,6,6,6,0,1,0.3333333333333333,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.382512,6,1,7,7,6,0,0,0.0,0,0,0,0.0,0,1,2,1.7142857142857142,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.393274,6,1,8,8,6,0,0,0.0,0,0,0,0.0,0,1,2,1.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.410283,6,1,9,9,6,0,0,0.0,0,0,0,0.0,0,1,2,1.3333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.436105,6,1,10,10,6,0,0,0.0,0,0,0,0.0,0,1,2,1.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.436954,7,1,2,2,7,11,11,11.0,0,5,5,5.0,0,7,7,7.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.437817,7,1,3,3,7,3,5,4.333333333333333,2,1,2,1.6666666666666667,1,4,5,4.666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.438995,7,1,4,4,7,0,2,1.0,2,0,0,0.0,0,3,4,3.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.441318,7,1,5,5,7,0,1,0.2,1,0,0,0.0,0,2,3,2.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.446198,7,1,6,6,7,0,1,0.3333333333333333,1,0,0,0.0,0,2,3,2.3333333333333335,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.454558,7,1,7,7,7,0,1,0.14285714285714285,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.469468,7,1,8,8,7,0,0,0.0,0,0,0,0.0,0,1,2,1.75,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.489156,7,1,9,9,7,0,0,0.0,0,0,0,0.0,0,1,2,1.5555555555555556,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.520273,7,1,10,10,7,0,0,0.0,0,0,0,0.0,0,1,2,1.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.521504,8,1,2,2,8,13,13,13.0,0,6,6,6.0,0,8,8,8.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.522867,8,1,3,3,8,5,7,5.666666666666667,2,2,3,2.3333333333333335,1,5,6,5.333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.525029,8,1,4,4,8,2,2,2.0,0,0,0,0.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.528552,8,1,5,5,8,0,1,0.6,1,0,0,0.0,0,3,4,3.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.534701,8,1,6,6,8,0,1,0.3333333333333333,1,0,0,0.0,0,2,3,2.6666666666666665,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.544862,8,1,7,7,8,0,1,0.14285714285714285,1,0,0,0.0,0,2,3,2.2857142857142856,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.559247,8,1,8,8,8,0,0,0.0,0,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.581652,8,1,9,9,8,0,0,0.0,0,0,0,0.0,0,1,2,1.7777777777777777,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.616181,8,1,10,10,8,0,0,0.0,0,0,0,0.0,0,1,2,1.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.617245,9,1,2,2,9,15,15,15.0,0,7,7,7.0,0,9,9,9.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.618373,9,1,3,3,9,7,7,7.0,0,3,3,3.0,0,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.620133,9,1,4,4,9,2,3,2.5,1,0,1,0.5,1,4,5,4.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.623340,9,1,5,5,9,0,2,0.8,2,0,0,0.0,0,3,4,3.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.629207,9,1,6,6,9,0,3,1.0,3,0,1,0.3333333333333333,1,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.639828,9,1,7,7,9,0,1,0.14285714285714285,1,0,0,0.0,0,2,3,2.5714285714285716,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.657623,9,1,8,8,9,0,0,0.0,0,0,0,0.0,0,2,3,2.25,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.683464,9,1,9,9,9,0,1,0.1111111111111111,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.721955,9,1,10,10,9,0,0,0.0,0,0,0,0.0,0,1,2,1.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.723067,10,1,2,2,10,17,17,17.0,0,8,8,8.0,0,10,10,10.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.724427,10,1,3,3,10,7,9,8.333333333333334,2,3,4,3.6666666666666665,1,6,7,6.666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.726424,10,1,4,4,10,3,3,3.0,0,1,1,1.0,0,5,5,5.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.730225,10,1,5,5,10,0,2,1.2,2,0,1,0.2,1,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.736008,10,1,6,6,10,0,4,1.1666666666666667,4,0,1,0.3333333333333333,1,3,4,3.3333333333333335,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.747082,10,1,7,7,10,0,1,0.42857142857142855,1,0,0,0.0,0,2,3,2.857142857142857,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.766263,10,1,8,8,10,0,0,0.0,0,0,0,0.0,0,2,3,2.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.801219,10,1,9,9,10,0,1,0.1111111111111111,1,0,0,0.0,0,2,3,2.2222222222222223,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.845862,10,1,10,10,10,0,1,0.2,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.848045,11,1,2,2,11,19,19,19.0,0,9,9,9.0,0,11,11,11.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.850129,11,1,3,3,11,9,11,9.666666666666666,2,4,5,4.333333333333333,1,7,8,7.333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.852085,11,1,4,4,11,3,5,4.0,2,1,2,1.5,1,5,6,5.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.856351,11,1,5,5,11,0,3,1.8,3,0,1,0.2,1,4,5,4.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.863512,11,1,6,6,11,0,4,1.3333333333333333,4,0,1,0.3333333333333333,1,3,4,3.6666666666666665,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.876743,11,1,7,7,11,0,1,0.42857142857142855,1,0,0,0.0,0,3,4,3.142857142857143,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.898255,11,1,8,8,11,0,0,0.0,0,0,0,0.0,0,2,3,2.75,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.931120,11,1,9,9,11,0,1,0.1111111111111111,1,0,0,0.0,0,2,3,2.4444444444444446,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.981700,11,1,10,10,11,0,1,0.2,1,0,0,0.0,0,2,3,2.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.983143,12,1,2,2,12,21,21,21.0,0,10,10,10.0,0,12,12,12.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.984306,12,1,3,3,12,11,11,11.0,0,5,5,5.0,0,8,8,8.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.987178,12,1,4,4,12,5,5,5.0,0,2,2,2.0,0,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.991337,12,1,5,5,12,0,3,2.4,3,0,1,0.2,1,4,5,4.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.000118,12,1,6,6,12,0,4,2.0,4,0,1,0.3333333333333333,1,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.016180,12,1,7,7,12,0,1,0.42857142857142855,1,0,0,0.0,0,3,4,3.4285714285714284,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.043874,12,1,8,8,12,0,0,0.0,0,0,0,0.0,0,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.087834,12,1,9,9,12,0,1,0.1111111111111111,1,0,0,0.0,0,2,3,2.6666666666666665,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.144418,12,1,10,10,12,0,1,0.2,1,0,0,0.0,0,2,3,2.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.146579,13,1,2,2,13,23,23,23.0,0,11,11,11.0,0,13,13,13.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.149273,13,1,3,3,13,11,13,12.333333333333334,2,5,6,5.666666666666667,1,8,9,8.666666666666666,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.153085,13,1,4,4,13,5,7,6.0,2,2,3,2.5,1,6,7,6.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.158468,13,1,5,5,13,2,5,3.0,3,0,1,0.2,1,5,6,5.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.167303,13,1,6,6,13,0,4,2.3333333333333335,4,0,1,0.3333333333333333,1,4,5,4.333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.183211,13,1,7,7,13,0,1,0.42857142857142855,1,0,0,0.0,0,3,4,3.7142857142857144,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.207846,13,1,8,8,13,0,0,0.0,0,0,0,0.0,0,3,4,3.25,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.250181,13,1,9,9,13,0,1,0.1111111111111111,1,0,0,0.0,0,2,3,2.888888888888889,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.309300,13,1,10,10,13,0,1,0.2,1,0,0,0.0,0,2,3,2.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.310440,14,1,2,2,14,25,25,25.0,0,12,12,12.0,0,14,14,14.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.311764,14,1,3,3,14,13,15,13.666666666666666,2,6,7,6.333333333333333,1,9,10,9.333333333333334,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.315979,14,1,4,4,14,7,7,7.0,0,3,3,3.0,0,7,7,7.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:51.320868,14,1,5,5,14,2,5,3.4,3,0,1,0.6,1,5,6,5.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.329628,14,1,6,6,14,1,4,2.6666666666666665,3,0,1,0.3333333333333333,1,4,5,4.666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:51.346472,14,1,7,7,14,0,2,0.7142857142857143,2,0,0,0.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
