datetime,num_rounds,num_courts,num_men,num_women,num_games,rOp min,rOp max, rOp avg,rOp rng, rTm min, rTm max,rTm avg,rOp rng, gms min, gms max, gms avg,gms rng,Cull_Num_Courts,rp_expon,wt_rOp,wt_rTm,wt_gms
Timestamp,Num Rounds,Num Courts,Num Men,Num Women,Num Games,Repeat Opponents Min,Repeat Opponents Max,Repeat Opponents Avg,Repeat Opponents Rng,Repeat Teammates Min,Repeat Teammates Max,Repeat Teammates Avg,Repeat Teammates Rng,Games Played Min,Games Played Max,Games Played Avg,Games Played Rng,Cull Num Courts,Repeat Exponential,Opponent History Weight,Teammate History Weight,Games Played Weight
